Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Score
56,123583.71762232357,3638.504946613191,9,5,12.663496196962347,4,14,23,24.177169410567057,10,Standard,243.7242767687764,43.26874724281503,105,No,1986.3524362509759,1967.4052243235994,74.54394441509248,Standard
69,58241.836534652124,4939.29773439139,4,9,14.963813619942465,2,11,0,12.822932134806429,3,Bad,3962.059985920343,25.708252767010684,207,Yes,1512.8787412671472,1095.1749194235915,2125.331650755305,Standard
46,138538.68454478844,7240.195178542533,4,3,25.49414634913966,4,3,20,3.4019498203472622,14,Bad,3495.385916397123,24.57907373992533,328,No,1364.8991727015828,3189.9377417307205,2953.2262549382926,Standard
32,145776.4642697911,7541.798566504557,3,4,18.39223060398292,4,29,24,13.011811879380486,5,Good,1304.4615259876803,30.430300199435003,139,No,810.6494153532747,8258.78677458455,1389.523737260308,Standard
60,44109.65370796506,1732.4854924626093,6,1,33.08121738333722,1,11,3,13.718993939906937,6,Good,3645.8335140529225,32.36523501330777,29,No,1110.4061778285793,6515.296853650075,1297.0687554288718,Standard
25,80072.64779953589,11423.698981938092,1,6,2.4239333905183673,8,17,17,16.52832581521809,8,Bad,3582.7427495731013,47.960544539741846,251,No,506.5417913349404,1689.805892337125,3391.6691485459532,Standard
38,20160.138571635365,8814.586347782595,6,4,18.10432296948896,6,16,5,3.16748138713284,10,Standard,2296.7260152937192,29.04862211255999,191,Yes,70.96681029139495,7888.217210923385,3008.521423277849,Standard
56,97782.5444659155,6704.889377434856,2,1,20.863642820278418,5,18,1,29.74205589148834,1,Good,3443.1980942685445,46.02753058905475,47,Yes,1672.0433168919458,5042.198660994027,835.7343749655482,Standard
36,98949.83827414726,11297.835961287237,9,2,32.286697526525316,4,15,2,7.324104624207191,9,Bad,2222.9045150753263,35.15927838061147,367,Yes,1792.9689873623433,5127.14624118297,4422.504816325794,Standard
40,52180.19422843877,6110.503435133699,2,3,2.671389803128538,3,10,13,5.956572106112787,11,Standard,1677.7279802893609,46.56871176672169,251,No,324.94127322847976,3621.121809808733,3399.8803508053493,Standard
